subject	age	country	sex	education	race	hispanic_ethnicity
545cbbcafdf99b11ed040acf	28	US	Female	16	Asian	No
55bb9ae7fdf99b26d27fda01	36	US	Female	12	White	No
55c82012fdf99b02adc2a36e	38	US	Female	16	White	No
56d0f57421cd29000a9737e4	39	US	Male	16	White	No
57901207c9abeb0001af353e	34	US	Female	14	White	No
581bd344930a280001062c90	39	US	Female	16	White	Yes
5928b6414a05920001393ecf	31	US	Female	12	White	No
59a07638bfd73c00010ea394	23	US	Male	12	Black or African American	No
59d5c894c732930001d88b5e	30	US	Male	16	White	Yes
5a6ff39ef660ae0001a9837e	25	US	Female	12	White	No
5a98b39b89de8200013ef94f	25	US	Male	16	Black or African American	No
5ad7835e9c198c0001fad31a	34	US	Female	12	White	No
5adf3828dee8590001b05860	35	US	Male	16	White	No
5af491b6222e4d0001877572	40	US	Female	16	White	No
5b15307351caaf0001228d9b	32	US	Female	12	White	No
5b76d0f5fca8d9000139404c	32	US	Male	14	White	No
5b9530390f85f600015705bf	32	US	Female	16	White	No
5be2991826f9ec00013f6f40	26	US	Male	16	White	No
5bea832a4fbb6f00017ea3e9	35	US	Male	12	Black or African American	No
5c06b3f64a2b7b0001c3c185	37	US	Female	16	Multiple	Yes
5c17294778ee390001ab19e5	25	US	Male	16	White	No
5c48ca334635bf000171c13f	34	US	Female	14	White	No
5c535974b7cf140001d308d3	29	US	Female	12	White	No
5c6ac9e5d9c5be000174497f	28	US	Female	12	White	No
5c9a7a644a640200171c0cc2	32	US	Female	18	White	No
5cb568ebf0e31e0017d9bf32	38	US	Female	14	White	No
5d10102523f6320017c63e07	28	US	Female	16	Black or African American	No
5d1beb9c9e033e0017a725dc	36	US	Male	18	Black or African American	No
5d3522b6eac3d50017df02cb	39	US	Male	21	Asian	No
5d3df9b23bf3780015abf56f	26	US	Female	16	White	No
5d48fcc5643eb80001fb43fa	29	US	Male	16	White	No
5d4b14caed2dfc0001a22c1a	39	US	Female	14	White	No
5d5315f889849a0001a76d1a	37	US	Female	16	Black or African American	No
5d7cefc73f9ae70018b400f1	40	US	Male	12	White	No
5d847ac9be4b0b00188463d7	25	US	Male	12	White	No
5d96eeed1998fb00177f6b71	24	US	Female	16	Asian	No
5dcebf4ad2c3e0000ab3debe	36	US	Female	16	White	No
5dd29e4e2274972a5d4ada96	24	US	Male	16	White	No
5dd95432cf08aa8dc50bb42a	31	US	Male	16	White	No
5dee933631a7e05381da6b02	33	US	Male	16	Black or African American	No
5e26762aa8c1118a9d578c4d	32	US	Male	16	Black or African American	No
5e2e7d79acf5fe45b62f859a	33	US	Female	18	Asian	No
5e3dff6b8714b707b9a258b0	38	US	Male	16	White	No
5e5731e3e1e8b90e25c1f3a2	40	US	Male	16	White	No
5e6fca371814a4594af2f420	30	US	Male	16	White	No
5e820eb36551aa02fd72e1dc	35	US	Male	12	White	No
5e8a69c836bc63718a82cb90	30	US	Male	18	Asian	No
5eae37af3ac6885048af8db3	25	US	Male	14	White	No
5ed53833cb34a1098e5e2bce	27	US	Female	12	White	No
5eeba783164680119f2e30c7	27	US	Female	12	Black or African American	No
5efaffccf90911000c95a3cb	31	US	Male	16	White	No
5f14606495f8a710716e860e	35	US	Female	16	White	Yes
5f18a43ed0b0db0b6f0fc067	31	US	Female	21	White	No
5f3aff819bf5ad209a13d568	27	US	Female	12	Black or African American	No
5f4d3cb5fdda0b2c403fb801	25	US	Not listed: non-binary	14	Asian	No
5f877e0715f8781a0c7c3ab8	38	US	Male	16	White	No
5f95a44920f542417f4263cb	24	US	Male	12	White	Yes
5f974c72a0ed8c0f9ce724ea	31	US	Male	16	Multiple	No
5f9fb315ae6f085ff96c0cac	31	US	Male	12	White	No
5fa8300f0967d163ec3c05c3	30	US	Male	16	Black or African American	No
5fd7782dee03dc08d3f3f491	39	US	Male	14	White	No
5fea7e34e1506a5df25419ec	38	US	Female	16	White	No
5ff0e3319cc6b3ff560a1d4d	27	US	Female	16	White	No
600c3219a434df2de6427feb	39	US	Male	12	White	No
605794cd71c6264c6798181b	22	US	Male	12	White	No
608f2aa883599160c8b87a79	32	US	Female	16	White	Yes
609be3207792bc09e989b7e0	30	US	Male	12	White	No
60a8343c2e4dd727c4833eb6	21	US	Female	12	White	Yes
60ce9fa3d9f9a088647a62ba	31	US	Male	16	Black or African American	No
60dfc07ddcd24dcc266d8690	26	US	Male	18	White	Yes
60fcc58f020a0d9d03ce0e2e	20	US	Male	12	White	No
60fd0fb011bf6207be143e00	21	US	Male	12	White	No
60fd3245706969157168ad50	25	US	Female	16	White	No
60fec21e36a05990cfa8a715	25	US	Female	12	White	No
60fef6813613ab668c778a8a	27	US	Female	16	White	No
60ff18bdffbecdc08f0ff60f	26	US	Female	18	White	No
6102f78ac1791768db58ed54	23	US	Female	12	White	No
6104b1c50f6057c1d8a6e3a6	26	US	Female	18	White	No
6108bb33c59f5718fbf341e5	28	US	Female	14	White	No
6109e5a0f7755d8fcba8b50c	25	US	Female	12	White	No
6109f35a1b748c0a8876d117	23	US	Female	18	Multiple	No
6110bd9e993f6fa5560b68f5	24	US	Male	16	White	No
6110d7f556da416401efdd5f	24	US	Female	16	Multiple	No
61114b774f9199a8f8f75de2	31	US	Female	12	Multiple	Yes
61116b7ba2ada479c60a86e7	25	US	Female	16	White	Yes
611195657110219178aa70e1	30	US	Male	16	White	No
6112dba8e2eb90519a46e6cf	24	US	Female	16	White	No
611f123e92042b11d0b1ef8d	19	US	Female	12	White	No
61281debe85082cc937dd9ae	31	US	Female	18	White	No
612d20ea1043719545f90f62	36	TW	Male	21	Asian	No
613909e5cf0d18ff1e3162a9	20	US	Female	12	White	No
6155d24e3306f96464879b38	22	US	Female	16	White	No
627448a7458cf55c0cdea3bb	28	US	Male	12	White	No
628f0d7e3055b5d1887916c5	30	US	Male	12	White	No
6297b5dba0b83527c9907832	23	US	Male	14	Multiple	Yes
62a33f5217536a32157d874e	31	US	Female	16	White	No
62b9b95e108fbc4df78a2956	22	US	Male	16	White	No
62b9cf42a63194f71fc0a393	23	US	Female	16	American Indian or Alaska Native	No
62e29cbc8c0f3271aae4d7bf	20	US	Female	12	White	No
62ec219e5f3634408fb35580	31	US	Female	16	White	No
62f58a7129fb13cf46a08ae0	29	US	Male	12	White	No
630345dd92f26599c777a5fc	39	US	Male	8	White	No
6307a60f9142d2c42021840d	19	US	Male	12	White	No
630ab689392291ba70d7fd3d	21	US	Male	12	White	No
630c1ad62af2905fb5bb3d1d	40	US	Male	8	White	No
63106ea4e8fe9c6cd32bf358	27	US	Male	12	Black or African American	No
631b593a9bb21bb86ea260a7	24	US	Male	16	White	Yes
631fc3e54c3c0515402fdd17	18	US	Male	8	White	No
632436c12617a96bb55a2ca8	29	US	Male	12	White	Yes
6339759d40c0cfec41fac4cb	24	US	Male	12	White	No
633d9eb9721ed1d1b6df11af	27	US	Male	16	White	No
6350714b7f29a002b46db87a	23	US	Female	16	White	No
636162be3bacd9edefc8d894	25	US	Male	14	Asian	No
63616c4bc6ecb76a9f0a5f21	20	US	Male	12	White	No
6367e6fe5de82d5e772d05ea	24	US	Male	16	White	No
