subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_long_duration	exclude
545cbbcafdf99b11ed040acf	slash	100	98.75	100	99.21875	100	100	96.875	100	776	767.5	742.5	759.5	766.5	666.221	0	0	0	0	0	0
55bb9ae7fdf99b26d27fda01	z	76.25	83.75	62.5	84.375	87.5	96.875	65.625	87.5	784.5	704	1218	911.5	833	860.42	0	0	0	0	0	0
55c82012fdf99b02adc2a36e	z	87.5	90	96.875	86.71875	93.75	93.75	75	84.375	727	690	908.5	813.5	764	1341.884	0	0	0	0	0	0
56d0f57421cd29000a9737e4	slash	93.75	100	96.875	96.875	100	96.875	93.75	96.875	901.5	903.5	918	885.5	903	833.453	0	0	0	0	0	0
57901207c9abeb0001af353e	z	97.5	87.5	96.875	91.40625	100	100	78.125	87.5	525.5	500.5	563	560	533	667.76	0	0	0	0	0	0
581bd344930a280001062c90	slash	95	95	81.25	98.4375	100	93.75	100	100	764	909	780.5	773	814.5	716.092	0	0	0	0	0	0
5928b6414a05920001393ecf	z	86.25	93.75	87.5	90.625	84.375	87.5	93.75	96.875	718.5	723	635	614	678	769.208	0	0	0	0	0	0
59a07638bfd73c00010ea394	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	0
59d5c894c732930001d88b5e	slash	91.25	97.5	96.875	93.75	96.875	93.75	96.875	87.5	931	910	944	961.5	940	860.04	0	0	0	0	0	0
5a6ff39ef660ae0001a9837e	slash	83.75	87.5	71.875	89.0625	87.5	100	90.625	78.125	582	558	570.5	560.5	569.5	1529.713	0	0	0	0	0	0
5a98b39b89de8200013ef94f	z	100	93.75	90.625	98.4375	100	93.75	100	100	1091.5	1056	989	1086	1060.5	687.745	0	0	0	0	0	0
5ad7835e9c198c0001fad31a	slash	91.25	88.75	53.125	99.21875	100	100	100	96.875	960.5	969.5	940	940	945.5	832.392	0	0	0	0	0	0
5adf3828dee8590001b05860	slash	82.5	80	9.375	99.21875	100	100	96.875	100	379.5	465	473	512	462.5	661.125	1	0	0	0	0	1
5af491b6222e4d0001877572	slash	91.25	91.25	62.5	98.4375	100	96.875	100	96.875	524.5	553.5	573.5	500	533.5	720.339	0	0	0	0	0	0
5b15307351caaf0001228d9b	z	98.75	96.25	90.625	99.21875	100	96.875	100	100	714	747	706	725	728.5	930.677	0	0	0	0	0	0
5b76d0f5fca8d9000139404c	slash	93.75	93.75	75	98.4375	96.875	100	96.875	100	581.5	620	637.5	621	627.5	572.049	0	0	0	0	0	0
5b9530390f85f600015705bf	z	98.75	86.25	87.5	93.75	96.875	90.625	93.75	93.75	1013.5	954.5	913.5	888.5	931.5	784.061	0	0	0	0	0	0
5be2991826f9ec00013f6f40	slash	97.5	98.75	96.875	98.4375	100	96.875	100	96.875	508.5	594	482	532	534.5	577.195	0	0	0	0	0	0
5bea832a4fbb6f00017ea3e9	slash	96.25	98.75	90.625	99.21875	100	100	96.875	100	808.5	830.5	816	845.5	829.5	684.967	0	0	0	0	0	0
5c06b3f64a2b7b0001c3c185	slash	92.5	96.25	87.5	96.09375	96.875	90.625	96.875	100	645	666	676	697.5	676	697.935	0	0	0	0	0	0
5c17294778ee390001ab19e5	slash	82.5	87.5	65.625	89.84375	87.5	90.625	81.25	100	855.5	898	835	805.5	839	631.351	0	0	0	0	0	0
5c48ca334635bf000171c13f	slash	95	86.25	75	94.53125	100	87.5	93.75	96.875	782	820	778	732.5	773.5	670.92	0	0	0	0	0	0
5c535974b7cf140001d308d3	slash	96.25	96.25	90.625	97.65625	96.875	93.75	100	100	742.5	830.5	786.5	715.5	763.5	692.374	0	0	0	0	0	0
5c6ac9e5d9c5be000174497f	z	95	92.5	96.875	92.96875	93.75	96.875	87.5	93.75	586	596.5	697	630	619	597.937	0	0	0	0	0	0
5c9a7a644a640200171c0cc2	slash	71.25	85	25	91.40625	100	87.5	84.375	93.75	548	555.5	543	471.5	534	537.684	0	0	0	0	0	0
5cb568ebf0e31e0017d9bf32	z	93.75	91.25	93.75	92.1875	96.875	96.875	90.625	84.375	584	586	677	771.5	648	916.904	0	0	0	0	0	0
5d10102523f6320017c63e07	slash	88.75	90	75	92.96875	96.875	84.375	96.875	93.75	950.5	971	745.5	904	875.5	661.618	0	0	0	0	0	0
5d1beb9c9e033e0017a725dc	z	96.25	87.5	81.25	94.53125	100	90.625	96.875	90.625	685.5	893.5	870	968	877	617.685	0	0	0	0	0	0
5d3522b6eac3d50017df02cb	z	85	96.25	84.375	92.1875	100	93.75	84.375	90.625	577	596	782	643	638	809.392	0	0	0	0	0	0
5d3df9b23bf3780015abf56f	slash	81.25	87.5	100	80.46875	87.5	90.625	68.75	75	880	856.5	862.5	920.5	875	718.832	0	0	0	0	0	0
5d48fcc5643eb80001fb43fa	slash	92.5	93.75	93.75	92.96875	100	81.25	93.75	96.875	818	854	860	857	842	658.364	0	0	0	0	0	0
5d4b14caed2dfc0001a22c1a	z	97.5	88.75	84.375	95.3125	100	93.75	93.75	93.75	401.5	456	428	452.5	428	683.177	0	0	0	0	0	0
5d5315f889849a0001a76d1a	slash	90	87.5	46.875	99.21875	100	96.875	100	100	400	392	414.5	391	400.5	603.394	0	0	0	0	0	0
5d7cefc73f9ae70018b400f1	slash	92.5	96.25	87.5	96.09375	100	93.75	93.75	96.875	652.5	669	802.5	761.5	702.5	653.739	0	0	0	0	0	0
5d847ac9be4b0b00188463d7	slash	95	100	96.875	97.65625	100	93.75	96.875	100	422	474	459.5	463	458	607.925	0	0	0	0	0	0
5d96eeed1998fb00177f6b71	slash	88.75	61.25000000000001	90.625	71.09375	78.125	68.75	65.625	71.875	707	783	869.5	797.5	771	835.811	0	0	0	0	0	0
5dcebf4ad2c3e0000ab3debe	slash	91.25	98.75	84.375	97.65625	96.875	96.875	100	96.875	608.5	620.5	624.5	596	613	584.362	0	0	0	0	0	0
5dd95432cf08aa8dc50bb42a	slash	90	97.5	100	92.1875	93.75	96.875	87.5	90.625	657	743.5	758	609	666.5	722.405	0	0	0	0	0	0
5dee933631a7e05381da6b02	slash	93.75	95	75	99.21875	100	100	100	96.875	373.5	428.5	408.5	515	432.5	538.474	0	0	0	0	0	0
5e26762aa8c1118a9d578c4d	z	100	93.75	87.5	99.21875	100	100	100	96.875	551.5	533.5	584	582.5	561	668.114	0	0	0	0	0	0
5e2e7d79acf5fe45b62f859a	z	92.5	96.25	78.125	98.4375	100	100	96.875	96.875	535.5	546	548	518.5	538.5	1685.849	0	0	0	0	0	0
5e3dff6b8714b707b9a258b0	z	87.5	86.25	87.5	86.71875	96.875	87.5	90.625	71.875	860.5	938.5	912	1061.5	916.5	1159.466	0	0	0	0	0	0
5e5731e3e1e8b90e25c1f3a2	z	78.75	75	53.125	82.8125	84.375	87.5	78.125	81.25	897.5	848.5	941	881.5	895	1090.365	0	0	0	0	0	0
5e6fca371814a4594af2f420	slash	85	91.25	93.75	86.71875	96.875	100	65.625	84.375	1012.5	1061.5	1272.5	1124.5	1077.5	862.376	0	0	0	0	0	0
5e820eb36551aa02fd72e1dc	slash	92.5	90	84.375	92.96875	87.5	87.5	100	96.875	996.5	938	959.5	929.5	953	709.646	0	0	0	0	0	0
5e8a69c836bc63718a82cb90	slash	81.25	80	40.625	90.625	100	87.5	90.625	84.375	617.5	715	786	815	722	839.849	0	0	0	0	0	0
5eae37af3ac6885048af8db3	slash	83.75	86.25	62.5	90.625	100	100	81.25	81.25	395	359.5	517	486	427.5	807.814	0	0	0	0	0	0
5ed53833cb34a1098e5e2bce	slash	97.5	100	100	98.4375	100	96.875	96.875	100	1077.5	1058	1097.5	1098	1086	892.439	0	0	0	0	0	0
5efaffccf90911000c95a3cb	slash	87.5	91.25	62.5	96.09375	100	100	90.625	93.75	350	417.5	435.5	453.5	408	1457.631	0	0	0	0	0	0
5f14606495f8a710716e860e	slash	75	80	31.25	89.0625	93.75	90.625	87.5	84.375	517	442	564.5	463	490	766.474	0	0	0	0	0	0
5f18a43ed0b0db0b6f0fc067	slash	96.25	96.25	93.75	96.875	96.875	100	96.875	93.75	635.5	682	739	650	689.5	648.784	0	0	0	0	0	0
5f3aff819bf5ad209a13d568	slash	91.25	98.75	90.625	96.09375	100	96.875	100	87.5	527.5	496.5	580.5	529	529.5	800.139	0	0	0	0	0	0
5f4d3cb5fdda0b2c403fb801	slash	88.75	95	62.5	99.21875	96.875	100	100	100	390	412.5	380.5	364.5	387.5	716.158	0	0	0	0	0	0
5f877e0715f8781a0c7c3ab8	z	95	93.75	84.375	96.875	96.875	96.875	93.75	100	792	766	748.5	665.5	759	674.84	0	0	0	0	0	0
5f95a44920f542417f4263cb	z	96.25	88.75	100	90.625	90.625	84.375	90.625	96.875	705.5	763.5	728	730	741	590.171	0	0	0	0	0	0
5f974c72a0ed8c0f9ce724ea	slash	97.5	100	100	98.4375	100	100	93.75	100	745.5	760	819	779.5	762	646.099	0	0	0	0	0	0
5f9fb315ae6f085ff96c0cac	z	100	97.5	100	98.4375	100	96.875	96.875	100	831.5	900.5	904.5	918	894	697.137	0	0	0	0	0	0
5fa8300f0967d163ec3c05c3	slash	97.5	98.75	93.75	99.21875	100	100	96.875	100	481.5	534	563	505.5	523	666.133	0	0	0	0	0	0
5fd7782dee03dc08d3f3f491	z	98.75	96.25	87.5	100	100	100	100	100	995	965.5	1048.5	1047	1007.5	697.546	0	0	0	0	0	0
5fea7e34e1506a5df25419ec	z	96.25	97.5	84.375	100	100	100	100	100	538	544	524.5	574.5	541.5	651.749	0	0	0	0	0	0
5ff0e3319cc6b3ff560a1d4d	slash	88.75	95	71.875	96.875	96.875	96.875	93.75	100	422.5	406	419.5	388.5	403	533.448	0	0	0	0	0	0
600c3219a434df2de6427feb	z	93.75	100	84.375	100	100	100	100	100	393	407.5	423.5	401.5	408	535.712	0	0	0	0	0	0
605794cd71c6264c6798181b	z	92.5	95	68.75	100	100	100	100	100	418	429	494.5	435	439.5	522.988	0	0	0	0	0	0
608f2aa883599160c8b87a79	slash	96.25	98.75	90.625	99.21875	100	96.875	100	100	416	386.5	452.5	498.5	428	508.951	0	0	0	0	0	0
609be3207792bc09e989b7e0	slash	93.75	88.75	81.25	93.75	96.875	96.875	90.625	90.625	564	591.5	635.5	732	624	597.874	0	0	0	0	0	0
60a8343c2e4dd727c4833eb6	slash	87.5	90	46.875	99.21875	100	96.875	100	100	521	424.5	531.5	500	501	607.155	0	0	0	0	0	0
60ce9fa3d9f9a088647a62ba	slash	98.75	100	100	99.21875	100	100	96.875	100	535	639.5	644.5	670	644.5	613.246	0	0	0	0	0	0
60dfc07ddcd24dcc266d8690	z	97.5	97.5	90.625	99.21875	100	96.875	100	100	461.5	465.5	454.5	444	459	600.912	0	0	0	0	0	0
60fcc58f020a0d9d03ce0e2e	z	93.75	93.75	81.25	96.875	96.875	100	96.875	93.75	612	622	653	663	633	559.353	0	0	0	0	0	0
60fec21e36a05990cfa8a715	z	90	82.5	53.125	94.53125	96.875	96.875	87.5	96.875	559	547.5	608.5	551.5	561	734.225	0	0	0	0	0	0
60fef6813613ab668c778a8a	z	96.25	91.25	71.875	99.21875	96.875	100	100	100	814	795	862.5	814	814	664.809	0	0	0	0	0	0
60ff18bdffbecdc08f0ff60f	z	91.25	90	90.625	90.625	87.5	93.75	90.625	90.625	592	691	860	876	748.5	629.973	0	0	0	0	0	0
6102f78ac1791768db58ed54	z	85	83.75	43.75	94.53125	93.75	100	96.875	87.5	665.5	721.5	648	695	689.5	692.606	0	0	0	0	0	0
6104b1c50f6057c1d8a6e3a6	z	92.5	96.25	90.625	95.3125	93.75	90.625	96.875	100	676	713.5	637	516	651.5	726.966	0	0	0	0	0	0
6108bb33c59f5718fbf341e5	z	90	91.25	59.375	98.4375	100	96.875	100	96.875	449.5	408.5	398.5	473	421	1065.681	0	0	0	0	0	0
6109f35a1b748c0a8876d117	slash	98.75	87.5	65.625	100	100	100	100	100	431	407.5	432.5	444	427	499.414	0	0	0	0	0	0
6110bd9e993f6fa5560b68f5	z	96.25	96.25	100	95.3125	93.75	93.75	93.75	100	749	745	753.5	741	743	592.486	0	0	0	0	0	0
6110d7f556da416401efdd5f	slash	90	92.5	62.5	98.4375	100	96.875	96.875	100	465	475.5	440.5	439	451.5	519.201	0	0	0	0	0	0
61114b774f9199a8f8f75de2	z	81.25	85	62.5	88.28125	93.75	84.375	87.5	87.5	675	848	671	691.5	693	801.052	0	0	0	0	0	0
61116b7ba2ada479c60a86e7	slash	92.5	96.25	90.625	95.3125	93.75	100	93.75	93.75	774	681	747	754.5	729	720.757	0	0	0	0	0	0
611195657110219178aa70e1	slash	95	91.25	87.5	94.53125	100	96.875	84.375	96.875	880.5	896	930.5	909.5	907.5	667.74	0	0	0	0	0	0
6112dba8e2eb90519a46e6cf	slash	96.25	95	96.875	95.3125	96.875	87.5	100	96.875	684	744.5	725.5	811	728	545.602	0	0	0	0	0	0
611f123e92042b11d0b1ef8d	slash	86.25	91.25	93.75	87.5	90.625	96.875	84.375	78.125	501	488	564.5	547.5	508	756.319	0	0	0	0	0	0
61281debe85082cc937dd9ae	slash	95	100	96.875	97.65625	93.75	96.875	100	100	632.5	678.5	632.5	674.5	656	626.21	0	0	0	0	0	0
612d20ea1043719545f90f62	slash	97.5	97.5	90.625	99.21875	96.875	100	100	100	672	652	680.5	649	666	679.504	0	0	0	0	0	0
613909e5cf0d18ff1e3162a9	slash	93.75	93.75	87.5	95.3125	93.75	100	93.75	93.75	452	521.5	581.5	553.5	528	556.088	0	0	0	0	0	0
6155d24e3306f96464879b38	z	98.75	97.5	100	97.65625	96.875	96.875	100	96.875	1009.5	1003	1015.5	1008	1009	1918.751	0	0	0	0	0	0
628f0d7e3055b5d1887916c5	slash	86.25	86.25	56.25	93.75	93.75	100	87.5	93.75	469.5	502.5	570.5	549	519	608.335	0	0	0	0	0	0
6297b5dba0b83527c9907832	slash	72.5	82.5	37.5	87.5	78.125	87.5	87.5	96.875	364.5	331	468.5	424.5	380.5	545.574	0	0	0	0	0	0
62a33f5217536a32157d874e	z	93.75	85	96.875	87.5	90.625	96.875	84.375	78.125	670.5	738.5	873	695	717.5	736.605	0	0	0	0	0	0
62b9b95e108fbc4df78a2956	z	85	83.75	43.75	94.53125	100	100	96.875	81.25	399.5	389	429.5	493	418.5	576.216	0	0	0	0	0	0
62b9cf42a63194f71fc0a393	z	100	98.75	96.875	100	100	100	100	100	508.5	543	526.5	505.5	524.5	725.745	0	0	0	0	0	0
62e29cbc8c0f3271aae4d7bf	slash	82.5	90	59.375	92.96875	100	81.25	93.75	96.875	634.5	641	651.5	524.5	605.5	609.905	0	0	0	0	0	0
62ec219e5f3634408fb35580	slash	87.5	96.25	87.5	92.96875	100	96.875	90.625	84.375	861	862	884	902	870	768.642	0	0	0	0	0	0
62f58a7129fb13cf46a08ae0	slash	97.5	98.75	96.875	98.4375	96.875	96.875	100	100	621	652	671	610.5	632	551.396	0	0	0	0	0	0
630345dd92f26599c777a5fc	slash	95	96.25	84.375	98.4375	100	100	93.75	100	430.5	447.5	577	456	451	721.589	0	0	0	0	0	0
6307a60f9142d2c42021840d	z	87.5	88.75	59.375	95.3125	100	96.875	100	84.375	383	462.5	388.5	405.5	404	524.559	0	0	0	0	0	0
630ab689392291ba70d7fd3d	slash	92.5	97.5	81.25	98.4375	96.875	96.875	100	100	687	713.5	713	660	694	850.009	0	0	0	0	0	0
630c1ad62af2905fb5bb3d1d	slash	78.75	96.25	78.125	89.84375	84.375	93.75	81.25	100	917	924.5	1043.5	948	962.5	875.046	0	0	0	0	0	0
63106ea4e8fe9c6cd32bf358	z	85	93.75	53.125	98.4375	100	100	96.875	96.875	617	613.5	605.5	569.5	605.5	618.189	0	0	0	0	0	0
631b593a9bb21bb86ea260a7	slash	90	92.5	84.375	92.96875	96.875	93.75	87.5	93.75	642	636.5	731.5	666	664.5	803.763	0	0	0	0	0	0
631fc3e54c3c0515402fdd17	z	95	95	87.5	96.875	96.875	100	96.875	93.75	658.5	788.5	647	737.5	712.5	650.746	0	0	0	0	0	0
632436c12617a96bb55a2ca8	z	83.75	81.25	37.5	93.75	96.875	90.625	100	87.5	612.5	595.5	649	660.5	631	641.587	0	0	0	0	0	0
6339759d40c0cfec41fac4cb	slash	62.5	91.25	93.75	72.65625	100	100	46.875	43.75	478.5	464.5	2000	2000	674	621.171	0	0	0	0	0	0
6350714b7f29a002b46db87a	z	96.25	96.25	84.375	99.21875	96.875	100	100	100	770	759	790	785	771.5	580.595	0	0	0	0	0	0
636162be3bacd9edefc8d894	z	92.5	90	56.25	100	100	100	100	100	380.5	383.5	381.5	359	377.5	659.488	0	0	0	0	0	0
63616c4bc6ecb76a9f0a5f21	slash	93.75	92.5	75	97.65625	100	100	90.625	100	362	382	391.5	374.5	380.5	603.087	0	0	0	0	0	0
